"STATION","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WESD","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT21","WT22"
"USW00013743","2011-01-01","3.2"," 1323"," 1342","0.3","0.0","0.0",,"14.4","1.1","  200","  190",,"7.6","9.4","    1",,,,,,"    1",,,"    1",,,"    1",,,,
"USW00013743","2011-01-02","4.9"," 0440"," 0438","1.5","0.0","0.0",,"15.0","1.1","  330","  330",,"10.3","12.5","    1",,,,,,,,,"    1",,,"    1",,,,
"USW00013743","2011-01-03","4.6"," 0306"," 0305","0.0","0.0","0.0",,"5.0","-2.2","  310","  320",,"9.8","12.5",,,,,,,,,,,,,,,,,
"USW00013743","2011-01-04","2.9"," 0954"," 0953","0.0","0.0","0.0",,"6.1","-3.9","  210","  210",,"6.7","7.6",,,,,,,,,,,,,,,,,
"USW00013743","2011-01-05","3.8"," 0955"," 0250","0.0","0.0","0.0",,"6.1","-0.6","  340","  310",,"7.6","10.3",,,,,,,,,,,,,,,,,
"USW00013743","2011-01-06","2.1"," 1221"," 2218","0.0","0.0","0.0",,"5.0","-2.2","  300","  170",,"6.3","7.6",,,,,,,,,,,,,,,"    1",,
"USW00013743","2011-01-07","3.2"," 0905"," 1029","0.0","0.0","0.0",,"1.7","-0.6","  320","  280",,"7.6","10.3",,,,,,,,,,,,,,,"    1",,
"USW00013743","2011-01-08","5.1"," 1518"," 1517","0.5","10.0","0.0",,"1.7","-4.4","  320","  320",,"11.6","16.5","    1","    1",,,,,,,,"    1",,,,,"    1",,"    1"
"USW00013743","2011-01-09","6.7"," 1625"," 0852","0.0","0.0","0.0",,"2.2","-5.0","  300","  300",,"11.6","16.1",,,,,,,,,,,,,,,,,
"USW00013743","2011-01-10","4.0"," 1257"," 0930","0.0","0.0","0.0",,"1.7","-3.9","  340","  340",,"7.2","9.8",,,,,,,,,,,,,,,,,
"USW00013743","2011-01-11","1.8"," 1639"," 1635","2.8","25.0","0.0",,"1.1","-2.2","  120","  120",,"4.5","5.8","    1",,,,,,"    1",,,,"    1","    1","    1",,"    1",,
"USW00013743","2011-01-12","5.6"," 1412"," 2143","0.0","0.0","25.0",,"2.2","-2.8","  320","  320",,"12.5","18.3",,,,,,,,,,,,,,,,,
"USW00013743","2011-01-13","5.5"," 1103"," 1057","0.0","0.0","0.0",,"2.8","-3.3","  310","  320",,"11.2","14.8",,,,,,,,,,,,,,,,,
"USW00013743","2011-01-14","2.4"," 1249"," 1249","0.0","0.0","0.0",,"2.8","-5.0","  290","  280",,"7.6","10.7",,,,,,,,,,,,,,,,,
"USW00013743","2011-01-15","2.9"," 1427"," 1501","0.0","0.0","0.0",,"7.8","-2.2","  190","  210",,"7.2","9.4",,,,,,,,,,,,,,,,,
