date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-10-01,21.6,17.8,27.2,0,0,180.4,12.2,,1025.2,
2018-10-02,23.2,18.9,28.9,0,0,187.1,14,,1020.7,
2018-10-03,24.5,20.6,30.6,0,0,264.8,9.4,,1017.7,
2018-10-04,24.2,20,32.2,0,0,189.8,9.4,,1016.1,
2018-10-05,22,18.9,25,0,0,32,14,,1019.2,
2018-10-06,21,18.9,23.9,0,0,138.1,6.1,,1022,
2018-10-07,23.7,21.7,27.8,0,0,179.8,9,,1022.7,
2018-10-08,24.6,21.7,29.4,0,0,142.3,6.5,,1026.2,
2018-10-09,24.7,22.2,28.3,0,0,156,6.1,,1025.5,
2018-10-10,24.8,22.8,28.9,0,0,173.6,10.4,,1018.1,
2018-10-11,25.4,21.1,28.3,38.4,0,183.6,16.6,,1006.1,
2018-10-12,18.2,12.8,21.1,0,0,331.7,23.8,,1007.4,
2018-10-13,13.6,9.4,16.7,0.5,0,330.6,14.4,,1014.6,
2018-10-14,11.9,8.9,15.6,0.3,0,164.3,5.8,,1023.5,
2018-10-15,17.1,15,23.3,4.6,0,200.4,16.9,,1018.2,
2018-10-16,17,13.3,19.4,0,0,321.1,15.5,,1020.9,
2018-10-17,15.7,11.7,21.1,0,0,308.7,15.5,,1018.8,
2018-10-18,12.8,8.3,15,0,0,319.2,15.1,,1028.8,
2018-10-19,11.8,6.1,18.9,0.5,0,203.4,14.4,,1024.4,
2018-10-20,15.8,11.7,20.6,1.8,0,239.6,13,,1008.5,
2018-10-21,11.6,5.6,13.3,0,0,314.4,24.5,,1017.5,
2018-10-22,8.5,3.3,14.4,0,0,215.5,13.7,,1024.7,
2018-10-23,13.4,7.2,22.2,0,0,226.7,14,,1018.4,
2018-10-24,12.2,6.1,14.4,0,0,322.1,18.7,,1022.8,
2018-10-25,8.6,4.4,12.8,0,0,318.1,11.2,,1022.9,
2018-10-26,9.2,7.2,10.6,18.8,0,74.1,14,,1017.3,
2018-10-27,10.8,9.4,12.2,12.4,0,344.4,19.1,,1003.6,
2018-10-28,12.2,10,16.7,0.5,0,240.3,13,,1009.2,
2018-10-29,12.9,8.9,16.7,0,0,265.5,13.7,,1012.8,
2018-10-30,11.7,6.1,18.3,0,0,259.1,9,,1020.7,
2018-10-31,12.8,8.3,20.6,0,0,189.7,11.2,,1017.6,
2018-11-01,17.3,13.9,24.4,0,0,190.4,18.7,,1011.4,
2018-11-02,20.4,13.3,22.8,19.1,0,182.7,17.6,,1005.2,
2018-11-03,14,8.3,16.1,0.8,0,301.4,16.2,,1015.4,
2018-11-04,10.3,5.6,15,0,0,67.5,9,,1031.5,
2018-11-05,12.4,11.7,14.4,36.6,0,31.9,12.6,,1022.3,
2018-11-06,13.6,12.2,16.1,20.1,0,190.5,10.8,,1012,
2018-11-07,13.9,8.9,18.9,0,0,227.2,7.6,,1018.3,
2018-11-08,13.3,10,16.1,0,0,13.6,14.8,,1024.3,
2018-11-09,10,7.8,11.1,13.7,0,18.1,12.2,,1019.4,
2018-11-10,7.7,0.6,10,0,0,310.8,20.5,,1021.1,
2018-11-11,3.6,-0.5,8.9,0,0,258.1,8.3,,1030,
2018-11-12,5.8,2.2,10,15.2,0,147.5,5.8,,1028.3,
2018-11-13,8,6.7,10,8.6,0,329,16.9,,1018.3,
2018-11-14,6.1,3.3,7.8,0,0,348.6,17.6,,1030.9,
2018-11-15,3.2,0,5,29.2,0,39.7,24.1,,1023.6,
